['Stukely', -72.23475876166667, 45.363788451666665, '2022-09-03', '02-04-33', '06_04_34', 'Stukely_Day14_2022-09-03_02-04-33_picNo_0_M45.363788451666665_N-72.23475876166667_T06_04_34.200000.png', []],
['Stukely', -72.23475876166667, 45.363788451666665, '2022-09-03', '02-04-33', '06_04_34', 'Stukely_Day14_2022-09-03_02-04-33_picNo_1_M45.363788451666665_N-72.23475876166667_T06_04_34.200000.png', []],
['Stukely', -72.23475894333333, 45.363788805, '2022-09-03', '02-04-33', '06_04_35', 'Stukely_Day14_2022-09-03_02-04-33_picNo_3_M45.363788805_N-72.23475894333333_T06_04_35.200000.png', []],
['Stukely', -72.23475894333333, 45.363788805, '2022-09-03', '02-04-33', '06_04_35', 'Stukely_Day14_2022-09-03_02-04-33_picNo_4_M45.363788805_N-72.23475894333333_T06_04_35.200000.png', []],
['Stukely', -72.23475913833333, 45.363789225, '2022-09-03', '02-04-33', '06_04_36', 'Stukely_Day14_2022-09-03_02-04-33_picNo_6_M45.363789225_N-72.23475913833333_T06_04_36.200000.png', []],
['Stukely', -72.23475913833333, 45.363789225, '2022-09-03', '02-04-33', '06_04_36', 'Stukely_Day14_2022-09-03_02-04-33_picNo_7_M45.363789225_N-72.23475913833333_T06_04_36.200000.png', []],
['Stukely', -72.23475935, 45.363789653333335, '2022-09-03', '02-04-33', '06_04_37', 'Stukely_Day14_2022-09-03_02-04-33_picNo_9_M45.363789653333335_N-72.23475935_T06_04_37.200000.png', []],
['Stukely', -72.23475935, 45.363789653333335, '2022-09-03', '02-04-33', '06_04_37', 'Stukely_Day14_2022-09-03_02-04-33_picNo_10_M45.363789653333335_N-72.23475935_T06_04_37.200000.png', []],
['Stukely', -72.23475948333333, 45.363790116666664, '2022-09-03', '02-04-33', '06_04_38', 'Stukely_Day14_2022-09-03_02-04-33_picNo_12_M45.363790116666664_N-72.23475948333333_T06_04_38.200000.png', []],
['Stukely', -72.23475948333333, 45.363790116666664, '2022-09-03', '02-04-33', '06_04_38', 'Stukely_Day14_2022-09-03_02-04-33_picNo_13_M45.363790116666664_N-72.23475948333333_T06_04_38.200000.png', []],
['Stukely', -72.23475975833334, 45.36379059666667, '2022-09-03', '02-04-33', '06_04_39', 'Stukely_Day14_2022-09-03_02-04-33_picNo_15_M45.36379059666667_N-72.23475975833334_T06_04_39.200000.png', []],
['Stukely', -72.23475975833334, 45.36379059666667, '2022-09-03', '02-04-33', '06_04_39', 'Stukely_Day14_2022-09-03_02-04-33_picNo_16_M45.36379059666667_N-72.23475975833334_T06_04_39.200000.png', []],
['Stukely', -72.23475998, 45.363790985, '2022-09-03', '02-04-33', '06_04_40', 'Stukely_Day14_2022-09-03_02-04-33_picNo_18_M45.363790985_N-72.23475998_T06_04_40.200000.png', []],
['Stukely', -72.23475998, 45.363790985, '2022-09-03', '02-04-33', '06_04_40', 'Stukely_Day14_2022-09-03_02-04-33_picNo_19_M45.363790985_N-72.23475998_T06_04_40.200000.png', []],
['Stukely', -72.234760215, 45.36379140333333, '2022-09-03', '02-04-33', '06_04_41', 'Stukely_Day14_2022-09-03_02-04-33_picNo_21_M45.36379140333333_N-72.234760215_T06_04_41.200000.png', []],
['Stukely', -72.234760215, 45.36379140333333, '2022-09-03', '02-04-33', '06_04_41', 'Stukely_Day14_2022-09-03_02-04-33_picNo_22_M45.36379140333333_N-72.234760215_T06_04_41.200000.png', []],
['Stukely', -72.23476049, 45.36379181, '2022-09-03', '02-04-33', '06_04_42', 'Stukely_Day14_2022-09-03_02-04-33_picNo_24_M45.36379181_N-72.23476049_T06_04_42.200000.png', []],
['Stukely', -72.23476049, 45.36379181, '2022-09-03', '02-04-33', '06_04_42', 'Stukely_Day14_2022-09-03_02-04-33_picNo_25_M45.36379181_N-72.23476049_T06_04_42.200000.png', []],
['Stukely', -72.23476075666666, 45.36379226166667, '2022-09-03', '02-04-33', '06_04_43', 'Stukely_Day14_2022-09-03_02-04-33_picNo_27_M45.36379226166667_N-72.23476075666666_T06_04_43.200000.png', []],
